x,y,id
-102.81,24.86,19035
-102.51,24.86,19036
-102.21,24.86,19037
-101.91,24.86,19038
-101.61,24.86,19039
-101.31,24.86,19040
-101.01,24.86,19041
-100.71,24.86,19042
-100.41,24.86,19043
-100.11,24.86,19044
-99.81,24.86,19394
-99.51,24.86,19395
-99.21,24.86,19396
-98.91,24.86,19397
-98.61,24.86,19398
-98.31,24.86,19399
-98.01,24.86,19400
-97.71,24.86,19401
-97.41,24.86,19751
-97.11,24.86,19751
-96.81,24.86,NA
-96.51,24.86,NA
-96.21,24.86,NA
-95.91,24.86,NA
-95.61,24.86,NA
-95.31,24.86,NA
-95.01,24.86,NA
-94.71,24.86,NA
-94.41,24.86,NA
-94.11,24.86,NA
-93.81,24.86,NA
-93.51,24.86,NA
-93.21,24.86,NA
-92.91,24.86,NA
-92.61,24.86,NA
-92.31,24.86,NA
-92.01,24.86,NA
-91.71,24.86,NA
-91.41,24.86,NA
-91.11,24.86,NA
-90.81,24.86,NA
-90.51,24.86,NA
-90.21,24.86,NA
-89.91,24.86,NA
-89.61,24.86,NA
-89.31,24.86,NA
-89.01,24.86,NA
-88.71,24.86,NA
-88.41,24.86,NA
-88.11,24.86,NA
-87.81,24.86,NA
-87.51,24.86,NA
-87.21,24.86,NA
-86.91,24.86,NA
-86.61,24.86,NA
-86.31,24.86,NA
-86.01,24.86,NA
-85.71,24.86,NA
-85.41,24.86,NA
-85.11,24.86,NA
-84.81,24.86,NA
-84.51,24.86,NA
-84.21,24.86,NA
-83.91,24.86,NA
-83.61,24.86,NA
-83.31,24.86,NA
-83.01,24.86,NA
-82.71,24.86,NA
-82.41,24.86,NA
-82.11,24.86,NA
-81.81,24.86,NA
-81.51,24.86,NA
-81.21,24.86,NA
-80.91,24.86,24691
-80.61,24.86,NA
-80.31,24.86,NA
-80.01,24.86,NA
-79.71,24.86,NA
-79.41,24.86,NA
-79.11,24.86,NA
-78.81,24.86,NA
-78.51,24.86,NA
-78.21,24.86,25398
-77.91,24.86,25398
-77.61,24.86,NA
-77.31,24.86,NA
-77.01,24.86,NA
-76.71,24.86,NA
-76.41,24.86,NA
-76.11,24.86,NA
-75.81,24.86,NA
-75.51,24.86,NA
-75.21,24.86,NA
-74.91,24.86,NA
-74.61,24.86,NA
-74.31,24.86,NA
-74.01,24.86,NA
-73.71,24.86,NA
-73.41,24.86,NA
-73.11,24.86,NA
-72.81,24.86,NA
-72.51,24.86,NA
-72.21,24.86,NA
-71.91,24.86,NA
-71.61,24.86,NA
-71.31,24.86,NA
-71.01,24.86,NA
-70.71,24.86,NA
-70.41,24.86,NA
-70.11,24.86,NA
-69.81,24.86,NA
-69.51,24.86,NA
-69.21,24.86,NA
-68.91,24.86,NA
-68.61,24.86,NA
-68.31,24.86,NA
-68.01,24.86,NA
-67.71,24.86,NA
-67.41,24.86,NA
-67.11,24.86,NA
-124.71,25.16,NA
-124.41,25.16,NA
-124.11,25.16,NA
-123.81,25.16,NA
-123.51,25.16,NA
-123.21,25.16,NA
-122.91,25.16,NA
-122.61,25.16,NA
-122.31,25.16,NA
-122.01,25.16,NA
-121.71,25.16,NA
-121.41,25.16,NA
-121.11,25.16,NA
-120.81,25.16,NA
-120.51,25.16,NA
-120.21,25.16,NA
-119.91,25.16,NA
-119.61,25.16,NA
-119.31,25.16,NA
-119.01,25.16,NA
-118.71,25.16,NA
-118.41,25.16,NA
-118.11,25.16,NA
-117.81,25.16,NA
-117.51,25.16,NA
-117.21,25.16,NA
-116.91,25.16,NA
-116.61,25.16,NA
-116.31,25.16,NA
-116.01,25.16,NA
